edad,ingresos_mensuales,antiguedad_laboral,tipo_empleo,monto_prestamo,plazo_meses,historial_crediticio,num_creditos_activos,deuda_actual,tiene_vivienda_propia,ratio_cuota_ingreso,default
25,4871.0,8,Formal,6609.0,24,Bueno,1,4549.0,0,0.057,0
48,2991.0,14,Independiente,5587.0,48,Bueno,2,3220.0,0,0.039,0
64,3976.0,2,Formal,10377.0,48,Regular,1,720.0,0,0.054,1
24,2243.0,23,Formal,5106.0,36,Bueno,5,328.0,1,0.063,0
63,1346.0,12,Formal,3900.0,36,Bueno,0,480.0,0,0.08,0
61,3392.0,9,Independiente,5450.0,36,Bueno,4,399.0,0,0.045,0
34,3371.0,27,Informal,8004.0,48,Bueno,1,5452.0,0,0.049,0
51,3503.0,22,Independiente,10726.0,12,Regular,3,933.0,0,0.255,1
29,5345.0,4,Independiente,18185.0,48,Bueno,1,2180.0,1,0.071,0
58,5850.0,4,Formal,7428.0,36,Regular,5,5658.0,1,0.035,1
55,4558.0,0,Independiente,15664.0,60,Bueno,5,7353.0,1,0.057,0
38,5202.0,16,Formal,4855.0,60,Bueno,2,459.0,1,0.016,1
24,3024.0,10,Formal,4359.0,12,Regular,0,1176.0,1,0.12,0
68,2749.0,11,Independiente,9003.0,24,Bueno,1,3550.0,0,0.136,1
42,4909.0,15,Formal,9754.0,36,Bueno,4,4588.0,1,0.055,0
64,2605.0,16,Informal,7854.0,36,Bueno,4,2788.0,0,0.084,1
54,2495.0,0,Formal,27009.0,48,Bueno,0,76.0,1,0.226,0
59,10510.0,3,Independiente,5016.0,12,Bueno,0,16398.0,1,0.04,0
58,4167.0,23,Formal,14042.0,36,Malo,2,4341.0,1,0.094,1
30,3372.0,28,Independiente,4430.0,60,Bueno,4,5064.0,1,0.022,0
38,3227.0,25,Independiente,10186.0,60,Bueno,4,5598.0,0,0.053,1
43,2267.0,27,Formal,7248.0,12,Bueno,0,2988.0,0,0.266,0
45,4522.0,13,Informal,8160.0,60,Bueno,5,252.0,0,0.03,0
23,3626.0,24,Independiente,9056.0,12,Regular,1,4644.0,0,0.208,1
47,5786.0,26,Formal,7400.0,36,Regular,1,5868.0,1,0.036,1
28,4967.0,26,Independiente,6595.0,24,Malo,2,926.0,0,0.055,0
57,3579.0,4,Formal,2210.0,36,Bueno,4,1742.0,1,0.017,0
54,1792.0,4,Independiente,11662.0,12,Bueno,1,545.0,1,0.542,0
66,4171.0,12,Formal,3221.0,24,Regular,3,6944.0,1,0.032,0
57,4030.0,15,Informal,5665.0,24,Bueno,1,5769.0,0,0.059,1
38,1653.0,28,Formal,8493.0,60,Bueno,0,2085.0,0,0.086,0
68,4750.0,9,Independiente,3591.0,36,Bueno,0,6526.0,1,0.021,0
41,2571.0,24,Informal,6591.0,48,Bueno,2,2782.0,1,0.053,1
36,5903.0,26,Informal,10938.0,36,Regular,0,9088.0,0,0.051,1
65,3938.0,28,Independiente,5589.0,24,Malo,3,1620.0,0,0.059,1
39,3193.0,5,Independiente,6654.0,12,Regular,4,1440.0,0,0.174,1
24,4394.0,7,Independiente,4036.0,12,Bueno,3,4680.0,0,0.077,1
44,4291.0,6,Formal,5980.0,36,Regular,2,6257.0,1,0.039,1
59,4232.0,22,Independiente,3276.0,60,Regular,1,6367.0,0,0.013,0
30,5602.0,20,Independiente,7939.0,24,Regular,0,9844.0,1,0.059,0
43,4495.0,12,Formal,2821.0,36,Bueno,0,6168.0,0,0.017,0
27,3086.0,2,Independiente,4906.0,48,Malo,0,1293.0,1,0.033,1
54,3667.0,15,Formal,7284.0,60,Bueno,3,1522.0,0,0.033,0
44,6704.0,21,Independiente,6340.0,24,Regular,1,5377.0,0,0.039,0
37,2981.0,14,Formal,8758.0,60,Regular,3,3489.0,1,0.049,0
32,4721.0,8,Informal,6667.0,36,Malo,2,4359.0,0,0.039,1
48,5681.0,17,Formal,2204.0,36,Malo,1,690.0,1,0.011,0
53,4894.0,19,Formal,3554.0,48,Bueno,2,4245.0,0,0.015,0
67,4181.0,17,Independiente,7088.0,24,Regular,2,6149.0,0,0.071,1
42,4426.0,26,Formal,12539.0,48,Bueno,0,1915.0,1,0.059,0
28,5011.0,9,Formal,11332.0,36,Regular,0,5728.0,1,0.063,0
61,2968.0,18,Independiente,26609.0,48,Bueno,5,1441.0,0,0.187,1
51,4040.0,25,Informal,5236.0,48,Bueno,0,4041.0,0,0.027,0
55,8661.0,6,Independiente,10736.0,36,Malo,1,10928.0,0,0.034,0
25,4776.0,8,Formal,10321.0,12,Regular,2,1781.0,1,0.18,1
36,4237.0,1,Formal,15987.0,24,Bueno,2,5640.0,1,0.157,0
58,3529.0,11,Independiente,13656.0,48,Bueno,4,4297.0,0,0.081,1
61,2980.0,1,Independiente,8270.0,36,Bueno,4,1678.0,0,0.077,0
42,4482.0,22,Informal,9786.0,48,Bueno,3,7220.0,1,0.045,0
60,4599.0,2,Formal,8775.0,24,Bueno,1,6461.0,0,0.08,1
62,3938.0,20,Independiente,6937.0,36,Malo,5,3694.0,0,0.049,1
39,10051.0,17,Informal,9400.0,48,Bueno,0,1496.0,1,0.019,0
65,3078.0,29,Formal,7800.0,48,Bueno,1,2441.0,0,0.053,0
35,2809.0,10,Informal,7616.0,24,Regular,2,1668.0,0,0.113,1
32,3548.0,10,Formal,16397.0,12,Bueno,2,1676.0,1,0.385,0
54,3986.0,7,Independiente,8360.0,48,Bueno,3,4618.0,1,0.044,0
52,2922.0,16,Formal,7429.0,48,Bueno,0,4848.0,0,0.053,0
27,4441.0,6,Informal,6450.0,36,Bueno,5,1172.0,0,0.04,0
61,4622.0,3,Informal,6135.0,36,Bueno,0,6170.0,1,0.037,0
30,5234.0,28,Formal,3491.0,24,Regular,2,5857.0,0,0.028,0
60,3334.0,20,Independiente,6941.0,36,Bueno,3,4003.0,0,0.058,1
21,6486.0,3,Formal,12891.0,24,Regular,5,9867.0,0,0.083,0
60,5101.0,18,Formal,5147.0,24,Malo,3,3447.0,0,0.042,1
59,3055.0,9,Independiente,20308.0,48,Regular,3,3187.0,1,0.138,0
59,2917.0,5,Independiente,1672.0,24,Malo,1,1453.0,0,0.024,1
53,3639.0,14,Formal,9205.0,48,Malo,4,1862.0,1,0.053,0
44,4626.0,23,Formal,7964.0,36,Regular,3,4274.0,1,0.048,0
55,4879.0,0,Formal,16237.0,12,Bueno,0,64.0,1,0.277,0
34,5097.0,10,Formal,4825.0,24,Bueno,2,2276.0,0,0.039,0
59,8437.0,27,Formal,3250.0,24,Regular,5,2303.0,1,0.016,0
48,1888.0,11,Formal,6260.0,36,Regular,5,407.0,1,0.092,0
43,1993.0,2,Informal,5704.0,60,Regular,1,1380.0,1,0.048,0
45,3898.0,12,Formal,2529.0,48,Regular,4,732.0,0,0.014,0
48,8153.0,20,Informal,7468.0,48,Regular,1,2264.0,1,0.019,0
22,5325.0,29,Formal,5435.0,48,Regular,4,6410.0,1,0.021,1
27,2744.0,18,Formal,14607.0,48,Regular,3,3217.0,0,0.111,1
33,4358.0,1,Formal,7536.0,36,Bueno,1,7413.0,0,0.048,0
26,3811.0,24,Formal,4474.0,48,Bueno,5,6313.0,0,0.024,1
42,3760.0,23,Independiente,7013.0,36,Bueno,1,5915.0,0,0.052,1
53,3310.0,19,Formal,7878.0,12,Bueno,2,4117.0,1,0.198,0
53,4226.0,26,Formal,9699.0,48,Bueno,5,2028.0,1,0.048,0
44,6022.0,23,Formal,7207.0,48,Bueno,1,1931.0,1,0.025,0
62,3422.0,6,Independiente,19753.0,24,Malo,1,5848.0,0,0.241,1
48,5112.0,12,Formal,3423.0,60,Bueno,5,8830.0,0,0.011,0
24,5447.0,15,Formal,5382.0,12,Regular,2,4946.0,0,0.082,1
58,6465.0,14,Formal,4485.0,48,Bueno,4,6382.0,0,0.014,1
49,2899.0,19,Independiente,5857.0,60,Regular,0,28.0,0,0.034,1
52,4101.0,21,Informal,8413.0,24,Bueno,3,1097.0,0,0.085,0
48,3167.0,3,Formal,8089.0,60,Regular,0,3112.0,1,0.043,0
48,4229.0,17,Formal,9570.0,48,Regular,2,1384.0,0,0.047,1
25,4218.0,1,Formal,7511.0,48,Bueno,1,3635.0,1,0.037,0
48,2630.0,15,Informal,7763.0,60,Regular,2,3763.0,1,0.049,1
59,4322.0,12,Formal,7596.0,36,Regular,2,6230.0,1,0.049,0
35,8606.0,6,Independiente,5543.0,36,Regular,5,13348.0,0,0.018,1
50,4886.0,29,Independiente,5308.0,36,Bueno,3,2073.0,0,0.03,1
22,2429.0,7,Formal,4432.0,36,Malo,0,1888.0,0,0.051,1
38,2831.0,1,Independiente,9847.0,24,Bueno,2,3194.0,0,0.145,1
42,4023.0,10,Independiente,1869.0,12,Bueno,4,4208.0,1,0.039,1
69,2856.0,22,Formal,7669.0,24,Bueno,2,5136.0,1,0.112,0
31,6332.0,0,Formal,10848.0,48,Bueno,3,3149.0,1,0.036,0
34,2320.0,14,Formal,12410.0,60,Bueno,3,298.0,1,0.089,0
41,4899.0,12,Formal,1532.0,60,Regular,5,3420.0,0,0.005,0
69,2138.0,25,Independiente,5642.0,24,Regular,3,1994.0,1,0.11,1
62,3999.0,0,Independiente,4586.0,36,Malo,3,2787.0,0,0.032,0
22,2701.0,0,Informal,5376.0,36,Bueno,5,1553.0,0,0.055,0
32,5230.0,16,Independiente,13825.0,24,Regular,1,2422.0,1,0.11,0
61,5926.0,5,Formal,4603.0,36,Bueno,4,4560.0,0,0.022,0
23,4621.0,21,Formal,10834.0,24,Bueno,4,5733.0,0,0.098,0
62,6029.0,8,Independiente,7729.0,60,Bueno,2,1616.0,0,0.021,0
34,1494.0,16,Formal,5243.0,24,Regular,5,2328.0,1,0.146,0
65,4301.0,1,Formal,4941.0,48,Regular,1,4963.0,0,0.024,0
35,4873.0,20,Independiente,8174.0,48,Bueno,5,942.0,0,0.035,0
42,5107.0,15,Independiente,6802.0,48,Bueno,0,216.0,0,0.028,0
53,1901.0,0,Formal,2422.0,24,Bueno,1,176.0,1,0.053,0
27,4766.0,7,Independiente,3990.0,24,Bueno,1,775.0,0,0.035,1
48,5149.0,1,Formal,8290.0,60,Regular,2,5964.0,1,0.027,0
45,4283.0,1,Independiente,3331.0,12,Bueno,2,7253.0,0,0.065,0
59,2439.0,20,Independiente,11673.0,12,Regular,4,585.0,1,0.399,1
69,3301.0,12,Independiente,2777.0,60,Malo,2,1689.0,0,0.014,1
53,6344.0,24,Formal,6070.0,48,Bueno,3,9887.0,1,0.02,0
41,6071.0,7,Independiente,10013.0,48,Malo,0,5526.0,0,0.034,1
40,4839.0,21,Formal,3805.0,24,Regular,0,3720.0,0,0.033,0
41,5271.0,18,Formal,3197.0,36,Bueno,2,4490.0,1,0.017,0
60,5799.0,19,Informal,9043.0,48,Regular,0,1056.0,1,0.032,1
36,4819.0,24,Formal,11021.0,24,Bueno,0,1905.0,0,0.095,0
29,6275.0,21,Independiente,6317.0,24,Regular,0,10866.0,0,0.042,1
37,6196.0,22,Formal,5555.0,12,Regular,1,7176.0,0,0.075,0
22,9670.0,22,Independiente,2712.0,36,Malo,1,4983.0,1,0.008,0
26,3353.0,13,Independiente,7346.0,24,Regular,0,5715.0,1,0.091,0
25,3376.0,21,Formal,2196.0,48,Regular,1,2415.0,0,0.014,0
58,1249.0,25,Independiente,13929.0,24,Bueno,1,317.0,0,0.465,0
56,4685.0,22,Informal,6491.0,24,Malo,5,8141.0,1,0.058,0
55,7963.0,18,Informal,4038.0,60,Regular,3,9545.0,1,0.008,1
43,6464.0,2,Informal,4914.0,60,Regular,4,8759.0,0,0.013,1
56,5516.0,13,Formal,7660.0,36,Malo,4,224.0,0,0.039,0
28,6633.0,1,Informal,5394.0,60,Bueno,0,3381.0,0,0.014,1
65,4906.0,3,Formal,6972.0,24,Bueno,2,8349.0,0,0.059,0
45,3655.0,10,Formal,3704.0,36,Regular,3,1023.0,0,0.028,1
66,8735.0,13,Formal,12543.0,24,Malo,5,13734.0,1,0.06,0
28,4771.0,15,Formal,4974.0,36,Regular,2,6617.0,0,0.029,0
45,6144.0,27,Independiente,1810.0,48,Bueno,1,4186.0,0,0.006,1
55,1489.0,22,Formal,5662.0,48,Bueno,4,2377.0,1,0.079,0
45,1606.0,12,Independiente,4543.0,12,Bueno,1,2667.0,1,0.236,0
42,4352.0,10,Formal,12095.0,24,Bueno,5,6791.0,1,0.116,0
29,2856.0,21,Formal,4050.0,60,Malo,2,2095.0,1,0.024,0
39,4502.0,8,Informal,5351.0,36,Regular,0,4758.0,1,0.033,0
32,3374.0,26,Independiente,7779.0,24,Bueno,2,1859.0,1,0.096,0
35,10239.0,23,Formal,9604.0,24,Bueno,5,2395.0,0,0.039,1
54,5958.0,20,Independiente,14429.0,24,Malo,2,9675.0,1,0.101,1
51,6880.0,7,Informal,4247.0,36,Regular,0,12151.0,0,0.017,1
50,1731.0,18,Formal,13567.0,36,Bueno,2,183.0,0,0.218,1
38,5488.0,24,Formal,11843.0,36,Bueno,4,6794.0,1,0.06,0
68,3817.0,2,Informal,4504.0,36,Bueno,0,6522.0,0,0.033,0
25,6931.0,5,Formal,4197.0,36,Bueno,5,7584.0,0,0.017,1
37,5186.0,15,Formal,8708.0,12,Regular,4,440.0,0,0.14,1
26,4026.0,10,Formal,6879.0,12,Bueno,4,108.0,0,0.142,0
37,2537.0,21,Formal,8695.0,24,Bueno,4,2302.0,0,0.143,0
68,4320.0,12,Informal,5765.0,48,Bueno,0,7309.0,0,0.028,1
38,6289.0,29,Informal,7267.0,48,Bueno,4,3157.0,0,0.024,0
65,7086.0,8,Independiente,6515.0,12,Regular,1,4468.0,1,0.077,0
45,3565.0,10,Independiente,8631.0,36,Regular,0,5108.0,0,0.067,1
55,9554.0,0,Informal,4113.0,36,Bueno,0,13786.0,0,0.012,1
43,6101.0,7,Independiente,7579.0,36,Bueno,0,10363.0,0,0.035,0
34,2879.0,7,Independiente,14270.0,36,Regular,0,4346.0,0,0.138,1
58,2629.0,22,Informal,13830.0,60,Malo,5,2811.0,1,0.088,1
68,3909.0,10,Formal,8068.0,12,Bueno,0,6605.0,0,0.172,0
33,3561.0,6,Formal,4064.0,36,Bueno,3,3938.0,0,0.032,0
59,4920.0,9,Independiente,17979.0,36,Malo,0,5328.0,0,0.102,1
33,4150.0,16,Independiente,8632.0,36,Bueno,5,116.0,0,0.058,0
56,3676.0,23,Formal,17021.0,24,Malo,3,3014.0,0,0.193,1
59,2184.0,29,Formal,8828.0,36,Regular,3,169.0,1,0.112,0
43,5246.0,1,Independiente,1432.0,12,Bueno,0,8487.0,0,0.023,0
57,2113.0,25,Formal,17915.0,48,Bueno,5,40.0,0,0.177,0
34,6109.0,11,Informal,10944.0,36,Malo,2,3376.0,1,0.05,1
24,1806.0,24,Informal,7115.0,24,Bueno,0,3235.0,1,0.164,0
25,2066.0,1,Formal,2328.0,60,Bueno,4,2957.0,0,0.019,0
42,2874.0,18,Independiente,11597.0,48,Bueno,5,3920.0,0,0.084,0
65,3441.0,27,Independiente,8782.0,36,Regular,0,4415.0,1,0.071,1
27,3174.0,1,Formal,20717.0,60,Regular,1,293.0,0,0.109,1
43,3435.0,23,Formal,16103.0,48,Regular,3,1782.0,1,0.098,0
55,4536.0,3,Formal,16751.0,12,Bueno,0,6519.0,0,0.308,1
30,2899.0,29,Informal,7949.0,36,Regular,4,4673.0,1,0.076,1
56,4552.0,22,Informal,7752.0,36,Regular,3,2868.0,1,0.047,1
35,1497.0,27,Formal,8836.0,36,Bueno,3,699.0,1,0.164,1
60,2858.0,26,Informal,4788.0,60,Regular,1,1214.0,0,0.028,1
49,2027.0,9,Independiente,7233.0,36,Regular,2,2000.0,1,0.099,0
47,6082.0,12,Formal,6436.0,12,Bueno,0,3191.0,0,0.088,0
29,3047.0,20,Formal,13355.0,36,Malo,4,117.0,0,0.122,1
43,5121.0,5,Informal,14848.0,48,Bueno,3,3602.0,0,0.06,1
62,1889.0,9,Formal,10180.0,24,Bueno,3,1883.0,0,0.225,0
21,7040.0,2,Independiente,4336.0,12,Bueno,4,8037.0,0,0.051,0
58,4242.0,26,Independiente,18544.0,24,Bueno,3,2619.0,1,0.182,0
45,8400.0,7,Independiente,11565.0,36,Bueno,2,4746.0,1,0.038,0
56,4057.0,12,Formal,8500.0,12,Bueno,4,2073.0,0,0.175,0
53,2194.0,13,Formal,9660.0,24,Regular,5,2462.0,0,0.183,1
42,2722.0,11,Informal,3030.0,12,Regular,5,1390.0,0,0.093,0
36,3721.0,23,Formal,6443.0,36,Bueno,3,6141.0,1,0.048,1
51,2762.0,27,Formal,13980.0,12,Regular,2,1400.0,1,0.422,1
27,5848.0,17,Formal,2940.0,12,Regular,0,8326.0,0,0.042,0
49,4193.0,25,Independiente,2887.0,36,Bueno,2,2413.0,0,0.019,0
25,2775.0,3,Formal,11605.0,24,Malo,4,3171.0,0,0.174,0
52,5502.0,28,Independiente,9289.0,24,Bueno,4,6923.0,0,0.07,0
51,3531.0,3,Formal,2962.0,36,Bueno,0,1108.0,0,0.023,1
25,5406.0,1,Independiente,6116.0,12,Bueno,3,3697.0,0,0.094,1
58,3316.0,0,Informal,8500.0,12,Bueno,4,762.0,0,0.214,0
41,4986.0,7,Independiente,7951.0,36,Bueno,4,4583.0,0,0.044,0
59,3484.0,25,Independiente,8874.0,24,Bueno,5,5703.0,1,0.106,0
23,5849.0,9,Independiente,5859.0,36,Regular,0,6277.0,1,0.028,1
29,1905.0,23,Independiente,8177.0,60,Malo,2,2406.0,0,0.072,0
45,2458.0,12,Formal,10170.0,36,Regular,0,1252.0,0,0.115,0
30,3849.0,3,Independiente,9745.0,36,Regular,4,3244.0,1,0.07,1
37,3099.0,14,Formal,5959.0,60,Regular,3,4132.0,0,0.032,1
53,3443.0,6,Formal,10692.0,36,Regular,2,814.0,0,0.086,0
28,5205.0,8,Formal,4049.0,48,Bueno,4,1140.0,1,0.016,0
54,3415.0,15,Formal,4913.0,36,Bueno,5,1380.0,0,0.04,0
26,4614.0,23,Formal,11596.0,36,Bueno,1,1967.0,1,0.07,0
29,2850.0,17,Independiente,10570.0,60,Bueno,4,4937.0,1,0.062,0
49,1749.0,6,Independiente,6265.0,12,Regular,5,499.0,1,0.299,0
59,5393.0,21,Formal,4855.0,60,Bueno,0,1021.0,0,0.015,0
29,7670.0,20,Formal,5235.0,36,Bueno,4,1901.0,0,0.019,1
35,4430.0,7,Independiente,9928.0,36,Bueno,0,1618.0,0,0.062,0
66,3930.0,25,Independiente,8928.0,36,Regular,4,2608.0,0,0.063,0
69,4252.0,25,Independiente,4681.0,24,Bueno,4,1509.0,1,0.046,0
49,6653.0,18,Formal,10530.0,12,Bueno,5,1051.0,1,0.132,1
42,4450.0,8,Informal,6111.0,60,Bueno,3,1094.0,0,0.023,1
37,5494.0,10,Formal,4128.0,36,Bueno,1,7809.0,0,0.021,0
51,5400.0,13,Independiente,5546.0,48,Regular,4,5055.0,0,0.021,1
49,6042.0,5,Formal,7541.0,24,Bueno,1,8112.0,0,0.052,0
35,3898.0,9,Formal,10330.0,24,Bueno,0,1240.0,1,0.11,1
22,3299.0,4,Informal,9970.0,24,Malo,0,1812.0,0,0.126,1
28,5007.0,4,Informal,6775.0,24,Bueno,5,8853.0,0,0.056,1
67,5875.0,22,Formal,8037.0,36,Regular,2,906.0,0,0.038,0
41,6307.0,3,Formal,6450.0,60,Regular,0,4980.0,1,0.017,0
44,6975.0,14,Informal,4686.0,48,Bueno,0,3713.0,1,0.014,0
43,5669.0,12,Formal,6918.0,36,Bueno,0,75.0,0,0.034,1
59,3229.0,1,Informal,2317.0,24,Bueno,4,3211.0,0,0.03,0
24,4428.0,24,Formal,15002.0,36,Bueno,0,4384.0,0,0.094,0
25,4278.0,29,Formal,7923.0,36,Bueno,4,2468.0,1,0.051,1
34,4100.0,19,Formal,9120.0,36,Regular,3,3485.0,0,0.062,0
44,5011.0,20,Independiente,4804.0,36,Bueno,1,3535.0,1,0.027,0
53,3760.0,6,Formal,7886.0,12,Bueno,5,3142.0,0,0.175,0
45,3762.0,25,Formal,8615.0,12,Regular,2,5743.0,1,0.191,1
42,7858.0,23,Informal,6279.0,60,Bueno,2,10099.0,0,0.013,0
66,3976.0,13,Formal,6468.0,48,Regular,4,2006.0,1,0.034,0
28,6025.0,21,Independiente,3309.0,60,Bueno,3,2598.0,0,0.009,1
49,6161.0,28,Formal,17620.0,24,Regular,4,8043.0,1,0.119,1
47,4475.0,18,Independiente,4764.0,36,Regular,3,1808.0,1,0.03,0
44,3819.0,5,Formal,5118.0,24,Bueno,5,6239.0,0,0.056,1
60,2895.0,9,Independiente,15518.0,60,Regular,2,4340.0,1,0.089,1
34,2101.0,5,Independiente,9351.0,24,Bueno,1,955.0,0,0.185,1
67,5149.0,9,Informal,10375.0,36,Bueno,0,7428.0,1,0.056,1
37,4751.0,26,Informal,3184.0,24,Bueno,1,1636.0,0,0.028,0
47,5441.0,5,Formal,7832.0,12,Bueno,4,243.0,0,0.12,0
46,3380.0,26,Formal,3206.0,24,Malo,5,5847.0,0,0.04,0
62,8178.0,8,Formal,4372.0,36,Bueno,1,11207.0,1,0.015,1
42,4912.0,14,Independiente,18995.0,48,Bueno,0,4324.0,0,0.081,0
34,3918.0,15,Formal,3921.0,60,Malo,4,5947.0,1,0.017,1
22,1707.0,3,Informal,10112.0,36,Bueno,4,233.0,0,0.165,1
38,3526.0,5,Informal,4136.0,36,Regular,0,4695.0,0,0.033,0
61,5541.0,9,Formal,4429.0,48,Bueno,0,9538.0,1,0.017,0
21,6904.0,1,Formal,25227.0,12,Malo,2,10173.0,1,0.304,1
64,4155.0,22,Independiente,6794.0,48,Bueno,2,3229.0,0,0.034,0
47,7348.0,16,Formal,3049.0,48,Regular,0,4580.0,0,0.009,1
27,2810.0,25,Formal,10342.0,36,Regular,3,4514.0,1,0.102,0
35,4806.0,25,Formal,13448.0,12,Malo,2,2522.0,0,0.233,1
48,4858.0,10,Informal,10856.0,24,Malo,4,8197.0,1,0.093,1
36,5165.0,24,Independiente,6469.0,24,Regular,5,2974.0,0,0.052,0
26,4374.0,1,Formal,6590.0,60,Bueno,0,984.0,1,0.025,0
53,4705.0,12,Formal,5300.0,36,Bueno,2,1998.0,0,0.031,0
53,2784.0,19,Independiente,3651.0,36,Malo,4,2603.0,0,0.036,1
26,6641.0,13,Formal,8528.0,36,Regular,0,1567.0,1,0.036,0
34,5793.0,22,Informal,6293.0,48,Malo,5,3962.0,0,0.023,1
32,4635.0,25,Independiente,3234.0,24,Regular,2,7558.0,1,0.029,0
53,5846.0,12,Informal,6887.0,12,Bueno,4,988.0,0,0.098,0
56,6725.0,8,Independiente,4781.0,36,Bueno,3,7439.0,0,0.02,0
56,5136.0,17,Informal,8286.0,24,Bueno,5,3733.0,1,0.067,0
66,8535.0,26,Independiente,7846.0,24,Regular,0,9947.0,0,0.038,1
58,5300.0,29,Independiente,5810.0,36,Bueno,5,4671.0,1,0.03,1
36,2951.0,24,Formal,7067.0,24,Bueno,3,4657.0,0,0.1,1
26,4545.0,7,Independiente,7404.0,60,Regular,4,3293.0,0,0.027,1
51,5935.0,6,Independiente,11594.0,48,Bueno,4,5432.0,0,0.041,1
65,6727.0,17,Formal,6927.0,60,Bueno,3,1576.0,0,0.017,0
68,4409.0,12,Independiente,5372.0,60,Bueno,2,3891.0,0,0.02,0
32,2862.0,18,Formal,6135.0,24,Bueno,4,591.0,0,0.089,1
32,3788.0,27,Formal,16908.0,24,Bueno,3,3976.0,0,0.186,0
22,2384.0,16,Formal,4223.0,36,Regular,5,1834.0,1,0.049,1
27,5511.0,10,Formal,6358.0,12,Regular,4,7771.0,0,0.096,1
48,3509.0,26,Formal,6306.0,60,Regular,3,2643.0,0,0.03,1
47,3129.0,13,Informal,6454.0,12,Malo,3,3552.0,0,0.172,0
39,5719.0,18,Independiente,2541.0,36,Bueno,1,607.0,0,0.012,0
36,7289.0,4,Informal,3578.0,36,Bueno,4,9316.0,1,0.014,0
61,3124.0,15,Informal,6116.0,60,Bueno,1,5384.0,1,0.033,0
43,4420.0,12,Formal,5220.0,36,Regular,3,3563.0,0,0.033,0
60,3848.0,3,Independiente,8266.0,36,Bueno,4,68.0,1,0.06,0
68,6850.0,6,Formal,12488.0,24,Malo,2,7443.0,0,0.076,0
36,4018.0,21,Informal,8615.0,36,Regular,5,1050.0,1,0.06,0
30,2758.0,5,Formal,7553.0,48,Regular,0,2323.0,0,0.057,0
67,4092.0,3,Formal,9075.0,36,Bueno,1,239.0,0,0.062,0
52,6285.0,1,Formal,7934.0,48,Regular,1,5010.0,1,0.026,0
35,3762.0,0,Independiente,7036.0,12,Bueno,5,5922.0,0,0.156,1
51,3250.0,13,Formal,11360.0,24,Bueno,3,792.0,1,0.146,0
46,3949.0,14,Formal,924.0,60,Regular,1,3542.0,1,0.004,0
65,2792.0,18,Informal,6024.0,24,Bueno,5,1276.0,0,0.09,0
33,3847.0,17,Formal,3550.0,36,Malo,2,1808.0,1,0.026,0
69,3344.0,16,Independiente,5123.0,36,Regular,1,3872.0,1,0.043,0
